实例规格,vCPU,内存,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ml.g1te.4xlarge","16 ","52","NVIDIA T4 * 2","27.16","6972.03","83664.34","167328.68","250993.02","华东2（上海）"
"ml.g1te.8xlarge","32 ","104","NVIDIA T4 * 4","54.32","13944.06","167328.68","334657.36","501986.04","华北2（北京）"
"ml.g1te.8xlarge","32 ","104","NVIDIA T4 * 4","54.32","13944.06","167328.68","334657.36","501986.04","华南1（广州）"
"ml.g1te.8xlarge","32 ","104","NVIDIA T4 * 4","54.32","13944.06","167328.68","334657.36","501986.04","华东2（上海）"
"ml.g1te.21xlarge","84 ","214","NVIDIA T4 * 8","111.356","30302","363624","727248","1090872","华北2（北京）"
"ml.g1te.21xlarge","84 ","214","NVIDIA T4 * 8","111.356","30302","363624","727248","1090872","华南1（广州）"
"ml.g1te.21xlarge","84 ","214","NVIDIA T4 * 8","111.356","30302","363624","727248","1090872","华东2（上海）"
"ml.gni2.3xlarge","14 ","56","NVIDIA A10 * 1","10.09","4845","58140","116280","174420","华北2（北京）"
"ml.gni2.3xlarge","14 ","56","NVIDIA A10 * 1","10.09","4845","58140","116280","174420","华东2（上海）"
"ml.gni2.7xlarge","28 ","112","NVIDIA A10 * 1","10.63","5100","61200","122400","183600","华北2（北京）"
"ml.gni2.7xlarge","28 ","112","NVIDIA A10 * 1","10.63","5100","61200","122400","183600","华东2（上海）"
"ml.gni2.10xlarge","42 ","168","NVIDIA A10 * 1","20.19","9690","116280","232560","348840","华北2（北京）"
"ml.gni2.10xlarge","42 ","168","NVIDIA A10 * 1","20.19","9690","116280","232560","348840","华东2（上海）"
"ml.gni2.14xlarge","56 ","224","NVIDIA A10 * 2","21.25","10200","122400","244800","367200","华北2（北京）"
"ml.gni2.14xlarge","56 ","224","NVIDIA A10 * 2","21.25","10200","122400","244800","367200","华东2（上海）"
"ml.gni2.28xlarge","112 ","448","NVIDIA A10 * 4","42.5","20400","244800","489600","734400","华北2（北京）"
"ml.gni2.28xlarge","112 ","448","NVIDIA A10 * 4","42.5","20400","244800","489600","734400","华东2（上海）"
"ml.ini2.7xlarge","28","234","NVIDIA A30 * 1","13.0415","6364.25","76371","152742","229113","华北2（北京）"
"ml.ini2.7xlarge","28","234","NVIDIA A30 * 1","13.0415","6364.25","76371","152742","229113","华南1（广州）"
"ml.ini2.7xlarge","28","234","NVIDIA A30 * 1","13.0415","6364.25","76371","152742","229113","华东2（上海）"
"ml.ini2.14xlarge","56","468","NVIDIA A30 * 2","26.083","12728.5","152742","305484","458226","华北2（北京）"
"ml.ini2.14xlarge","56","468","NVIDIA A30 * 2","26.083","12728.5","152742","305484","458226","华南1（广州）"
"ml.ini2.14xlarge","56","468","NVIDIA A30 * 2","26.083","12728.5","152742","305484","458226","华东2（上海）"
