计费项,是否计费,地域
"计算节点","是，会根据节点规格和使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
计费项,是否计费,地域
"数据分片节点","是，会根据数据分片（即Shard）数、每个分片中的节点（即Shard节点）数、节点规格，以及使用时长计费。",-
"分片代理节点","是，会根据分片代理节点（即Mongos节点）数、节点规格以及使用时长计费。",-
"元数据处理节点","是，会根据元数据处理节点（即 ConfigServer 节点）数、节点规格以及使用时长计费。",-
"存储空间","是，会根据存储数据量大小和存储时长计费。说明：仅数据分片组件（即 Shard）和元数据处理节点（即 ConfigServer 节点）会产生存储空间费用。",-
"备份","否，备份功能及备份文件所占用的存储空间均暂不收费。",-
,
,
,
规格码,CPU和内存,默认最大连接数,按量计费 (小时),包月,包1年,包2年,包3年,地域
"mongo.16c128g","16 核128 GiB","24000","10.15625","4875","58500","117000","175500","亚太东南（柔佛）"
"mongo.16c128g","16 核128 GiB","24000","8.125","3900","46800","93600","140400","华东2（上海）"
"mongo.16c128g","16 核128 GiB","24000","8.125","3900","46800","93600","140400","华南1（广州）"
"mongo.16c128g","16 核128 GiB","24000","8.125","3900","46800","93600","140400","华北2（北京）"
"mongo.32c64g","32 核64GiB","24000","12.5","6000","72000","144000","216000","亚太东南（雅加达）"
"mongo.32c64g","32 核64GiB","24000","12.5","6000","72000","144000","216000","中国香港"
"mongo.32c64g","32 核64GiB","24000","10","4800","57600","115200","172800","华东2（上海）"
"mongo.32c64g","32 核64GiB","24000","10","4800","57600","115200","172800","华南1（广州）"
"mongo.32c64g","32 核64GiB","24000","10","4800","57600","115200","172800","华北2（北京）"
"mongo.32c64g","32 核64GiB","24000","12.5","6000","72000","144000","216000","亚太东南（柔佛）"
"mongo.32c128g","32 核128GiB","42000","13.8875","6667.5","80010","160020","240030","亚太东南（雅加达）"
"mongo.32c128g","32 核128GiB","42000","13.8875","6667.5","80010","160020","240030","中国香港"
"mongo.32c128g","32 核128GiB","42000","11.11","5334","64008","128016","192024","华东2（上海）"
"mongo.32c128g","32 核128GiB","42000","11.11","5334","64008","128016","192024","华南1（广州）"
"mongo.32c128g","32 核128GiB","42000","11.11","5334","64008","128016","192024","华北2（北京）"
"mongo.32c128g","32 核128GiB","42000","13.8875","6667.5","80010","160020","240030","亚太东南（柔佛）"
"mongo.32c256g","32 核256GiB","42000","20.3125","9750","117000","234000","351000","亚太东南（雅加达）"
"mongo.32c256g","32 核256GiB","42000","20.3125","9750","117000","234000","351000","中国香港"
"mongo.32c256g","32 核256GiB","42000","20.3125","9750","117000","234000","351000","亚太东南（柔佛）"
"mongo.32c256g","32 核256GiB","42000","16.25","7800","93600","187200","280800","华东2（上海）"
"mongo.32c256g","32 核256GiB","42000","16.25","7800","93600","187200","280800","华北2（北京）"
"mongo.32c256g","32 核256GiB","42000","16.25","7800","93600","187200","280800","华南1（广州）"
"mongo.60c120g","60 核120GiB","64000","23.4375","11250","135000","270000","405000","亚太东南（雅加达）"
"mongo.60c120g","60 核120GiB","64000","23.4375","11250","135000","270000","405000","中国香港"
"mongo.60c120g","60 核120GiB","64000","18.75","9000","108000","216000","324000","华东2（上海）"
"mongo.60c120g","60 核120GiB","64000","18.75","9000","108000","216000","324000","华南1（广州）"
"mongo.60c120g","60 核120GiB","64000","18.75","9000","108000","216000","324000","华北2（北京）"
"mongo.60c120g","60 核120GiB","64000","23.4375","11250","135000","270000","405000","亚太东南（柔佛）"
"mongo.60c240g","60 核240 GiB","64000","26.0375","12500","150000","300000","450000","亚太东南（雅加达）"
"mongo.60c240g","60 核240 GiB","64000","26.0375","12500","150000","300000","450000","中国香港"
"mongo.60c240g","60 核240 GiB","64000","26.0375","12500","150000","300000","450000","亚太东南（柔佛）"
"mongo.60c240g","60 核240 GiB","64000","20.83","10000","120000","240000","360000","华北2（北京）"
"mongo.60c240g","60 核240 GiB","64000","20.83","10000","120000","240000","360000","华南1（广州）"
"mongo.60c240g","60 核240 GiB","64000","20.83","10000","120000","240000","360000","华东2（上海）"
"mongo.90c360g","90 核360 GiB","64000","39.0625","18750","225000","450000","675000","亚太东南（雅加达）"
"mongo.90c360g","90 核360 GiB","64000","39.0625","18750","225000","450000","675000","中国香港"
"mongo.90c360g","90 核360 GiB","64000","31.25","15000","180000","360000","540000","华东2（上海）"
"mongo.90c360g","90 核360 GiB","64000","31.25","15000","180000","360000","540000","华南1（广州）"
"mongo.90c360g","90 核360 GiB","64000","31.25","15000","180000","360000","540000","华北2（北京）"
"mongo.90c360g","90 核360 GiB","64000","39.0625","18750","225000","450000","675000","亚太东南（柔佛）"
"mongo.120c480g","120 核480 GiB","64000","52.0875","25000","300000","600000","900000","亚太东南（雅加达）"
"mongo.120c480g","120 核480 GiB","64000","52.0875","25000","300000","600000","900000","中国香港"
"mongo.120c480g","120 核480 GiB","64000","52.0875","25000","300000","600000","900000","亚太东南（柔佛）"
"mongo.120c480g","120 核480 GiB","64000","41.67","20000","240000","480000","720000","华北2（北京）"
"mongo.120c480g","120 核480 GiB","64000","41.67","20000","240000","480000","720000","华南1（广州）"
"mongo.120c480g","120 核480 GiB","64000","41.67","20000","240000","480000","720000","华东2（上海）"
,
,
,
计算节点类型,规格码,CPU和内存,默认最大连接数,按量计费 (小时),包月,包1年,包2年,包3年,地域
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.360416292","173","2076","4152","6227.99","亚太东南（雅加达）"
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.44275","212.5","2550","5100","7650","中国香港"
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.3542","170","2040","4080","6120","华东2（上海）"
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.3542","170","2040","4080","6120","华南1（广州）"
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.3542","170","2040","4080","6120","华北2（北京）"
"Mongos","mongo.mongos.2c4g","2 核 4GiB","2000","0.44275","212.5","2550","5100","7650","亚太东南（柔佛）"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.885375","425","5100","10200","15300","亚太东南（雅加达）"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.885375","425","5100","10200","15300","中国香港"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.7083","340","4080","8160","12240","华南1（广州）"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.7083","340","4080","8160","12240","华东2（上海）"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.7083","340","4080","8160","12240","华北2（北京）"
"Mongos","mongo.mongos.4c8g","4 核 8GiB","4000","0.885375","425","5100","10200","15300","亚太东南（柔佛）"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.510375","725","8700","17400","26100","亚太东南（雅加达）"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.510375","725","8700","17400","26100","中国香港"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.2083","580","6960","13920","20880","华南1（广州）"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.2083","580","6960","13920","20880","华北2（北京）"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.2083","580","6960","13920","20880","华东2（上海）"
"Mongos","mongo.mongos.4c16g","4 核 16GiB","6000","1.510375","725","8700","17400","26100","亚太东南（柔佛）"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.5391","1218.75","14625","29250","43875","亚太东南（雅加达）"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.5391","1218.75","14625","29250","43875","中国香港"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.0313","975","11700","23400","35100","华东2（上海）"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.0313","975","11700","23400","35100","华南1（广州）"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.0313","975","11700","23400","35100","华北2（北京）"
"Mongos","mongo.mongos.4c32g","4 核 32GiB","8000","2.5391","1218.75","14625","29250","43875","亚太东南（柔佛）"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.7707","850","10200","20400","30600","亚太东南（雅加达）"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.7707","850","10200","20400","30600","中国香港"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.7707","850","10200","20400","30600","亚太东南（柔佛）"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.4166","680","8160","16320","24480","华东2（上海）"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.4166","680","8160","16320","24480","华南1（广州）"
"Mongos","mongo.mongos.8c16g","8 核 16GiB","16000","1.4166","680","8160","16320","24480","华北2（北京）"
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","3.020875","1450","17400","34800","52200","亚太东南（雅加达）"
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","3.020875","1450","17400","34800","52200","中国香港"
"Mongos","mongo.mongos.8c32g","8 核 32GiB","16000","2.4167","1160","13920","27840","41760","华东2（上海）"
