产品,售卖地域,存储规格,性能密度,存储容量,预置带宽,突发带宽
弹性文件存储,"华北2（北京）/华东2（上海）",高级型,125MB/s/TiB,"0.82元/GiB/月 (0.00114元/GiB/小时)","4.1元/MB/s/月 (0.0057元/MB/s/小时)","41元/MB/s/月 (0.057元/MB/s/小时)"
弹性文件存储,"华北2（北京）/华东2（上海）",基础型,50MB/s/TiB,"0.42元/GiB/月 (0.00058元/GiB/小时)","4.1元/MB/s/月 (0.0057元/MB/s/小时)","41元/MB/s/月 (0.057元/MB/s/小时)"
