实例规格,vCPU,内存 (GiB),处理器型号,GPU型号,GPU显存(GB),按量计费 (小时),包月,包1年,包2年,包3年,地域
"ecs.g3i.12xlarge","48核","192GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","19.8606","10991.42","131897.09","263794.18","395691.26","中国香港"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","24.0735","13447.14","161365.68","322731.36","484097.04","亚太东南（雅加达）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华南1（广州）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","25.2439","13385.12","160621.44","321242.88","481864.32","亚太东南（柔佛）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华东2（上海）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","16.6151","8108.16","97297.92","194595.84","291893.76","华北2（北京）"
"ecs.g3i.16xlarge","64核","256GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","26.4808","14655.23","175862.78","351725.57","527588.35","中国香港"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","36.1103","20170.7","242048.4","484096.8","726145.2","亚太东南（雅加达）"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","24.9227","12162.24","145946.88","291893.76","437840.64","华南1（广州）"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","37.8658","20077.68","240932.16","481864.32","722796.48","亚太东南（柔佛）"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","24.9227","12162.24","145946.88","291893.76","437840.64","华东2（上海）"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","24.9227","12162.24","145946.88","291893.76","437840.64","华北2（北京）"
"ecs.g3i.24xlarge","96核","384GiB","Intel Xeon(Sapphire Rapids) Platinum 8457C","-","-","39.7212","21982.85","263794.18","527588.35","791382.53","中国香港"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.5606","273.57","3282.86","6565.72","9848.58","亚太东南（雅加达）"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.7203","326.18","3914.18","7828.36","11742.53","亚太东南（柔佛）"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.4312288525","210.44","2525.28","5050.55","7575.83","华东2（上海）"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.4312","210.44","2525.28","5050.55","7575.83","华北2（北京）"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.4312288525","210.44","2525.28","5050.55","7575.83","华南1（广州）"
"ecs.g3a.large","2核","8GiB","AMD EPYC(Genoa) 9Y24","-","-","0.6886","326.18","3914.18","7828.36","11742.53","中国香港"
