类型,实例费,规格配置费,公网费用,地域
"公网","包含","包含","包含",-
"私网","包含","包含","不涉及",-
,
,
,
规格,最大连接数,新建连接数（CPS）,每秒查询数（QPS）,带宽（Mbps）,规格单价（元/个/月）,规格单价（元/个/年）,地域
"小型I","10000","2000","2000","200","64.8","777.6","亚太东南（雅加达）"
"小型I","10000","2000","2000","200","64.8","777.6","中国香港"
"小型I","10000","2000","2000","200","64.8","777.6","亚太东南（柔佛）"
"小型I","10000","2000","2000","200","54","648","华南1（广州）"
"小型I","10000","2000","2000","200","54","648","华北2（北京）"
"小型I","10000","2000","2000","200","54","648","华东2（上海）"
"小型II","50000","5000","5000","500","226.8","2721.6","亚太东南（雅加达）"
"小型II","50000","5000","5000","500","226.8","2721.6","中国香港"
"小型II","50000","5000","5000","500","226.8","2721.6","亚太东南（柔佛）"
"小型II","50000","5000","5000","500","189","2268","华南1（广州）"
"小型II","50000","5000","5000","500","189","2268","华北2（北京）"
"小型II","50000","5000","5000","500","189","2268","华东2（上海）"
"中型I","100000","10000","10000","1000","453.6","5443.2","亚太东南（雅加达）"
"中型I","100000","10000","10000","1000","453.6","5443.2","中国香港"
"中型I","100000","10000","10000","1000","453.6","5443.2","亚太东南（柔佛）"
"中型I","100000","10000","10000","1000","378","4536","华南1（广州）"
"中型I","100000","10000","10000","1000","378","4536","华北2（北京）"
"中型I","100000","10000","10000","1000","378","4536","华东2（上海）"
"中型II","200000","20000","20000","2000","907.2","10886.4","亚太东南（雅加达）"
"中型II","200000","20000","20000","2000","907.2","10886.4","中国香港"
"中型II","200000","20000","20000","2000","907.2","10886.4","亚太东南（柔佛）"
"中型II","200000","20000","20000","2000","756","9072","华东2（上海）"
"中型II","200000","20000","20000","2000","756","9072","华北2（北京）"
"中型II","200000","20000","20000","2000","756","9072","华南1（广州）"
"大型I","500000","50000","50000","5000","1814.4","21772.8","亚太东南（雅加达）"
"大型I","500000","50000","50000","5000","1814.4","21772.8","中国香港"
"大型I","500000","50000","50000","5000","1512","18144","华东2（上海）"
"大型I","500000","50000","50000","5000","1512","18144","华北2（北京）"
"大型I","500000","50000","50000","5000","1512","18144","华南1（广州）"
"大型I","500000","50000","50000","5000","1814.4","21772.8","亚太东南（柔佛）"
"大型II","1000000","100000","100000","10000","3628.8","43545.6","亚太东南（雅加达）"
"大型II","1000000","100000","100000","10000","3628.8","43545.6","中国香港"
"大型II","1000000","100000","100000","10000","3628.8","43545.6","亚太东南（柔佛）"
"大型II","1000000","100000","100000","10000","3024","36288","华北2（北京）"
"大型II","1000000","100000","100000","10000","3024","36288","华东2（上海）"
"大型II","1000000","100000","100000","10000","3024","36288","华南1（广州）"
,
,
,
规格,最大连接数,新建连接数（CPS）,每秒查询数（QPS）,带宽（Mbps）,规格单价（元/个/小时）,地域
"小型I","10000","2000","2000","200","0.12","亚太东南（雅加达）"
"小型I","10000","2000","2000","200","0.12","中国香港"
"小型I","10000","2000","2000","200","0.12","亚太东南（柔佛）"
"小型I","10000","2000","2000","200","0.1","华南1（广州）"
"小型I","10000","2000","2000","200","0.1","华北2（北京）"
"小型I","10000","2000","2000","200","0.1","华东2（上海）"
"小型II","50000","5000","5000","500","0.42","亚太东南（雅加达）"
"小型II","50000","5000","5000","500","0.42","中国香港"
"小型II","50000","5000","5000","500","0.42","亚太东南（柔佛）"
"小型II","50000","5000","5000","500","0.35","华南1（广州）"
"小型II","50000","5000","5000","500","0.35","华北2（北京）"
"小型II","50000","5000","5000","500","0.35","华东2（上海）"
"中型I","100000","10000","10000","1000","0.84","亚太东南（雅加达）"
"中型I","100000","10000","10000","1000","0.84","中国香港"
"中型I","100000","10000","10000","1000","0.84","亚太东南（柔佛）"
"中型I","100000","10000","10000","1000","0.7","华南1（广州）"
"中型I","100000","10000","10000","1000","0.7","华北2（北京）"
"中型I","100000","10000","10000","1000","0.7","华东2（上海）"
"中型II","200000","20000","20000","2000","1.68","亚太东南（雅加达）"
"中型II","200000","20000","20000","2000","1.68","中国香港"
"中型II","200000","20000","20000","2000","1.68","亚太东南（柔佛）"
"中型II","200000","20000","20000","2000","1.4","华南1（广州）"
"中型II","200000","20000","20000","2000","1.4","华北2（北京）"
"中型II","200000","20000","20000","2000","1.4","华东2（上海）"
"大型I","500000","50000","50000","5000","3.36","亚太东南（雅加达）"
"大型I","500000","50000","50000","5000","3.36","中国香港"
"大型I","500000","50000","50000","5000","3.36","亚太东南（柔佛）"
"大型I","500000","50000","50000","5000","2.8","华南1（广州）"
"大型I","500000","50000","50000","5000","2.8","华北2（北京）"
"大型I","500000","50000","50000","5000","2.8","华东2（上海）"
"大型II","1000000","100000","100000","10000","6.72","亚太东南（雅加达）"
"大型II","1000000","100000","100000","10000","6.72","中国香港"
"大型II","1000000","100000","100000","10000","6.72","亚太东南（柔佛）"
"大型II","1000000","100000","100000","10000","5.6","华南1（广州）"
"大型II","1000000","100000","100000","10000","5.6","华北2（北京）"
"大型II","1000000","100000","100000","10000","5.6","华东2（上海）"
