实例规格,vCPU,内存,按量计费(元/小时),包月(元/月),包年单价,包3年单价,地域
"es.x8.2.5xlarge","24核","192GiB","15.24","7082.64","84991.68","254975.04","亚太东南（柔佛）"
"es.x8.2.5xlarge","24核","192GiB","15.24","7082.64","84991.68","254975.04","中国香港"
"es.x1.3xlarge","32核","32GiB","11.18","5230.81","62769.72","188309.16","亚太东南（雅加达）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华北2（北京）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华南1（广州）"
"es.x1.3xlarge","32核","32GiB","10.46","2917.44","35009.28","105027.84","华东2（上海）"
"es.x1.3xlarge","32核","32GiB","10.68","5070","60840","182520","亚太东南（柔佛）"
"es.x1.3xlarge","32核","32GiB","10.68","5070","60840","182520","中国香港"
"es.x2.3xlarge","32核","64GiB","12.47","5904.91","70858.92","212576.76","亚太东南（雅加达）"
"es.x2.3xlarge","32核","64GiB","10.76","5181.12","62173.44","186520.32","亚太东南（柔佛）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华东2（上海）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华南1（广州）"
"es.x2.3xlarge","32核","64GiB","13.93","3890.88","46690.56","140071.68","华北2（北京）"
"es.x2.3xlarge","32核","64GiB","10.76","5181.12","62173.44","186520.32","中国香港"
"es.x4.3xlarge","32核","128GiB","15.75","6818.41","81820.92","245462.76","亚太东南（雅加达）"
"es.x4.3xlarge","32核","128GiB","20.9","5837.76","70053.12","210159.36","华北2（北京）"
"es.x4.3xlarge","32核","128GiB","20.9","5837.76","70053.12","210159.36","华南1（广州）"
"es.x4.3xlarge","32核","128GiB","20.9","5837.76","70053.12","210159.36","华东2（上海）"
"es.x4.3xlarge","32核","128GiB","16.12","7773.12","93277.44","279832.32","亚太东南（柔佛）"
"es.x4.3xlarge","32核","128GiB","16.12","7773.12","93277.44","279832.32","中国香港"
"es.x8.3xlarge","32核","256GiB","20.32","9443.52","113322.24","339966.72","亚太东南（柔佛）"
"es.x8.3xlarge","32核","256GiB","19.44","8899.21","106790.52","320371.56","亚太东南（雅加达）"
"es.x8.3xlarge","32核","256GiB","22.56","6275.52","75306.24","225918.72","华北2（北京）"
"es.x8.3xlarge","32核","256GiB","22.56","6275.52","75306.24","225918.72","华南1（广州）"
"es.x8.3xlarge","32核","256GiB","20.32","9443.52","113322.24","339966.72","中国香港"
"es.x8.3xlarge","32核","256GiB","22.56","6275.52","75306.24","225918.72","华东2（上海）"
"es.x2.5xlarge","48核","96GiB","20.88","5836.32","70035.84","210107.52","华东2（上海）"
"es.x2.5xlarge","48核","96GiB","16.14","7771.68","93260.16","279780.48","中国香港"
"es.x2.5xlarge","48核","96GiB","20.88","5836.32","70035.84","210107.52","华南1（广州）"
"es.x2.5xlarge","48核","96GiB","20.88","5836.32","70035.84","210107.52","华北2（北京）"
"es.x2.5xlarge","48核","96GiB","18.78","8912.73","106952.76","320858.28","亚太东南（雅加达）"
"es.x2.5xlarge","48核","96GiB","16.14","7771.68","93260.16","279780.48","亚太东南（柔佛）"
"es.x4.5xlarge","48核","192GiB","31.35","8756.64","105079.68","315239.04","华东2（上海）"
"es.x4.5xlarge","48核","192GiB","24.18","11659.68","139916.16","419748.48","中国香港"
"es.x4.5xlarge","48核","192GiB","31.35","8756.64","105079.68","315239.04","华南1（广州）"
"es.x4.5xlarge","48核","192GiB","31.35","8756.64","105079.68","315239.04","华北2（北京）"
"es.x4.5xlarge","48核","192GiB","23.64","10227.63","122731.56","368194.68","亚太东南（雅加达）"
"es.x4.5xlarge","48核","192GiB","24.18","11659.68","139916.16","419748.48","亚太东南（柔佛）"
"es.x1.6xlarge","64核","64GiB","20.92","5834.88","70018.56","210055.68","华东2（上海）"
"es.x1.6xlarge","64核","64GiB","21.32","10140","121680","365040","中国香港"
"es.x1.6xlarge","64核","64GiB","20.92","5834.88","70018.56","210055.68","华南1（广州）"
"es.x1.6xlarge","64核","64GiB","20.92","5834.88","70018.56","210055.68","华北2（北京）"
