计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.4c8g","4.2","2016","24192","48384","72576","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.4c8g","4.2","2016","24192","48384","72576","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.4c8g","4.2","2016","24192","48384","72576","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.8c16g","8.4","4032","48384","96768","145152","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.8c16g","8.4","4032","48384","96768","145152","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.8c16g","8.4","4032","48384","96768","145152","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.16c32g","16.8","8064","96768","193536","290304","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.16c32g","16.8","8064","96768","193536","290304","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d2.16c32g","16.8","8064","96768","193536","290304","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.2c8g","3.6","1728","20736","41472","62208","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.2c8g","3.6","1728","20736","41472","62208","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.2c8g","3.6","1728","20736","41472","62208","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.4c16g","7.2","3456","41472","82944","124416","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.4c16g","7.2","3456","41472","82944","124416","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.4c16g","7.2","3456","41472","82944","124416","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.8c32g","14.4","6912","82944","165888","248832","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.8c32g","14.4","6912","82944","165888","248832","华南1（广州）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.8c32g","14.4","6912","82944","165888","248832","华北2（北京）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.16c64g","28.8","13824","165888","331776","497664","华东2（上海）"
" 标准版-高可用","通用型","rds.mssql.se.ha.d4.16c64g","28.8","13824","165888","331776","497664","华南1（广州）"
