计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","4.17","2000","24000","48000","72000","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","4.17","2000","24000","48000","72000","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","11.25","5400","64800","129600","194400","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","7.5","3600","43200","86400","129600","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","8.33","4000","48000","96000","144000","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","14.17","6800","81600","163200","244800","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","8.33","4000","48000","96000","144000","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","8.33","4000","48000","96000","144000","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","22.5","10800","129600","259200","388800","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.s1","15","7200","86400","172800","259200","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","16.67","8000","96000","192000","288000","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","28.33","13600","163200","326400","489600","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","16.67","8000","96000","192000","288000","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","16.67","8000","96000","192000","288000","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","45","21600","259200","518400","777600","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.s1","30","14400","172800","345600","518400","亚太东南（柔佛）"
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
"企业版-集群版","独享型","rds.mssql.ee.ha.x8.2c16g","11","5280","63360","126720","190080","华南1（广州）"
"企业版-集群版","独享型","rds.mssql.ee.ha.x8.2c16g","11","5280","63360","126720","190080","华北2（北京）"
"企业版-集群版","独享型","rds.mssql.ee.ha.x8.2c16g","11","5280","63360","126720","190080","华东2（上海）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.4c32g","22","10560","126720","253440","380160","华南1（广州）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.4c32g","22","10560","126720","253440","380160","华北2（北京）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.4c32g","22","10560","126720","253440","380160","华东2（上海）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.8c64g","44","21120","253440","506880","760320","华南1（广州）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.8c64g","44","21120","253440","506880","760320","华北2（北京）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.8c64g","44","21120","253440","506880","760320","华东2（上海）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.16c128g","88","42240","506880","1013760","1520640","华南1（广州）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.16c128g","88","42240","506880","1013760","1520640","华北2（北京）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.16c128g","88","42240","506880","1013760","1520640","华东2（上海）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.32c256g","176","84480","1013760","2027520","3041280","华南1（广州）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.32c256g","176","84480","1013760","2027520","3041280","华北2（北京）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.x8.32c256g","176","84480","1013760","2027520","3041280","华东2（上海）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.2x4.64c256g","320","153600","1843200","3686400","5529600","华南1（广州）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.2x4.64c256g","320","153600","1843200","3686400","5529600","华北2（北京）"
" 企业版-集群版","独享型","rds.mssql.ee.ha.2x4.64c256g","320","153600","1843200","3686400","5529600","华东2（上海）"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","18.75","9000","108000","216000","324000","亚太东南（柔佛）"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","18.75","9000","108000","216000","324000","亚太东南（雅加达）"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","10.42","5000","60000","120000","180000","华北2（北京）"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","10.42","5000","60000","120000","180000","华南1（广州）"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","17.71","8500","102000","204000","306000","中国香港"
"企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.medium.e2","10.42","5000","60000","120000","180000","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","37.5","18000","216000","432000","648000","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","37.5","18000","216000","432000","648000","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","20.83","10000","120000","240000","360000","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","20.83","10000","120000","240000","360000","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","35.42","17000","204000","408000","612000","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.large.e2","20.83","10000","120000","240000","360000","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","75","36000","432000","864000","1296000","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","75","36000","432000","864000","1296000","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","41.67","20000","240000","480000","720000","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","41.67","20000","240000","480000","720000","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","70.83","34000","408000","816000","1224000","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.xlarge.e2","41.67","20000","240000","480000","720000","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","150","72000","864000","1728000","2592000","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","150","72000","864000","1728000","2592000","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","83.33","40000","480000","960000","1440000","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","83.33","40000","480000","960000","1440000","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","141.67","68000","816000","1632000","2448000","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.2xlarge.e2","83.33","40000","480000","960000","1440000","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","300","144000","1728000","3456000","5184000","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","300","144000","1728000","3456000","5184000","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","166.67","80000","960000","1920000","2880000","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","166.67","80000","960000","1920000","2880000","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","283.33","136000","1632000","3264000","4896000","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.4xlarge.e2","166.67","80000","960000","1920000","2880000","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","576","276480","3317760","6635520","9953280","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","576","276480","3317760","6635520","9953280","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","320","153600","1843200","3686400","5529600","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","320","153600","1843200","3686400","5529600","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","544","261120","3133440","6266880","9400320","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x4.8xlarge.e2","320","153600","1843200","3686400","5529600","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","19.8","9504","114048","228096","342144","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","19.8","9504","114048","228096","342144","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","11","5280","63360","126720","190080","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","11","5280","63360","126720","190080","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","18.7","8976","107712","215424","323136","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.medium.e2","11","5280","63360","126720","190080","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","39.6","19008","228096","456192","684288","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","39.6","19008","228096","456192","684288","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","22","10560","126720","253440","380160","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","22","10560","126720","253440","380160","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","37.4","17952","215424","430848","646272","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.large.e2","22","10560","126720","253440","380160","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","79.2","38016","456192","912384","1368576","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","79.2","38016","456192","912384","1368576","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","44","21120","253440","506880","760320","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","44","21120","253440","506880","760320","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","74.8","35904","430848","861696","1292544","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.xlarge.e2","44","21120","253440","506880","760320","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","158.4","76032","912384","1824768","2737152","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","158.4","76032","912384","1824768","2737152","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","88","42240","506880","1013760","1520640","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","88","42240","506880","1013760","1520640","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","149.6","71808","861696","1723392","2585088","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.2xlarge.e2","88","42240","506880","1013760","1520640","华东2（上海）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","316.8","152064","1824768","3649536","5474304","亚太东南（柔佛）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","316.8","152064","1824768","3649536","5474304","亚太东南（雅加达）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","176","84480","1013760","2027520","3041280","华北2（北京）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","176","84480","1013760","2027520","3041280","华南1（广州）"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","299.2","143616","1723392","3446784","5170176","中国香港"
" 企业版-集群版","独享Ⅱ型","rds.mssql.3il.x8.4xlarge.e2","176","84480","1013760","2027520","3041280","华东2（上海）"
"企业版-基础版","通用型","rds.mssql.ee.std.d2.2c4g","2.29","1100","13200","26400","39600","华南1（广州）"
"企业版-基础版","通用型","rds.mssql.ee.std.d2.2c4g","2.29","1100","13200","26400","39600","华北2（北京）"
"企业版-基础版","通用型","rds.mssql.ee.std.d2.2c4g","2.29","1100","13200","26400","39600","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.4c8g","4.58","2200","26400","52800","79200","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.4c8g","4.58","2200","26400","52800","79200","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.4c8g","4.58","2200","26400","52800","79200","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.8c16g","9.17","4400","52800","105600","158400","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.8c16g","9.17","4400","52800","105600","158400","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.8c16g","9.17","4400","52800","105600","158400","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.16c32g","18.33","8800","105600","211200","316800","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.16c32g","18.33","8800","105600","211200","316800","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d2.16c32g","18.33","8800","105600","211200","316800","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.2c8g","4.17","2000","24000","48000","72000","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.2c8g","4.17","2000","24000","48000","72000","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.2c8g","4.17","2000","24000","48000","72000","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.4c16g","8.33","4000","48000","96000","144000","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.4c16g","8.33","4000","48000","96000","144000","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.4c16g","8.33","4000","48000","96000","144000","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.8c32g","16.67","8000","96000","192000","288000","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.8c32g","16.67","8000","96000","192000","288000","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.8c32g","16.67","8000","96000","192000","288000","华东2（上海）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.16c64g","33.33","16000","192000","384000","576000","华南1（广州）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.16c64g","33.33","16000","192000","384000","576000","华北2（北京）"
" 企业版-基础版","通用型","rds.mssql.ee.std.d4.16c64g","33.33","16000","192000","384000","576000","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","3.44","1650","19800","39600","59400","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","5.73","2750","33000","66000","99000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","2.29","1100","13200","26400","39600","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","2.29","1100","13200","26400","39600","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","3.9","1870","22440","44880","67320","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.e1","2.29","1100","13200","26400","39600","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","6.88","3300","39600","79200","118800","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","11.46","5500","66000","132000","198000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","4.58","2200","26400","52800","79200","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","4.58","2200","26400","52800","79200","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","7.79","3740","44880","89760","134640","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.e1","4.58","2200","26400","52800","79200","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","13.75","6600","79200","158400","237600","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","22.92","11000","132000","264000","396000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","9.17","4400","52800","105600","158400","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","9.17","4400","52800","105600","158400","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","15.58","7480","89760","179520","269280","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.e1","9.17","4400","52800","105600","158400","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","27.5","13200","158400","316800","475200","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","45.83","22000","264000","528000","792000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","18.33","8800","105600","211200","316800","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","18.33","8800","105600","211200","316800","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","31.17","14960","179520","359040","538560","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.e1","18.33","8800","105600","211200","316800","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","6.25","3000","36000","72000","108000","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","10.42","5000","60000","120000","180000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","4.17","2000","24000","48000","72000","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","4.17","2000","24000","48000","72000","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","7.08","3400","40800","81600","122400","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.e1","4.17","2000","24000","48000","72000","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","12.5","6000","72000","144000","216000","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","20.83","10000","120000","240000","360000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","8.33","4000","48000","96000","144000","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","8.33","4000","48000","96000","144000","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","14.17","6800","81600","163200","244800","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.e1","8.33","4000","48000","96000","144000","华东2（上海）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","25","12000","144000","288000","432000","亚太东南（柔佛）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","41.67","20000","240000","480000","720000","亚太东南（雅加达）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","16.67","8000","96000","192000","288000","华北2（北京）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","16.67","8000","96000","192000","288000","华南1（广州）"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","28.33","13600","163200","326400","489600","中国香港"
" 企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.xlarge.e1","16.67","8000","96000","192000","288000","华东2（上海）"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","50","24000","288000","576000","864000","亚太东南（柔佛）"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","83.33","40000","480000","960000","1440000","亚太东南（雅加达）"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","33.33","16000","192000","384000","576000","华北2（北京）"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","33.33","16000","192000","384000","576000","华南1（广州）"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","56.67","27200","326400","652800","979200","中国香港"
"  企业版-基础版","通用Ⅱ型","rds.mssql.3il.s4.2xlarge.e1","33.33","16000","192000","384000","576000","华东2（上海）"
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
"Web版-基础版","通用型","rds.mssql.web.std.d2.2c4g","0.54","260","3120","6240","9360","华东2（上海）"
"Web版-基础版","通用型","rds.mssql.web.std.d2.2c4g","0.54","260","3120","6240","9360","华北2（北京）"
"Web版-基础版","通用型","rds.mssql.web.std.d2.2c4g","0.54","260","3120","6240","9360","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.4c8g","1.08","520","6240","12480","18720","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.4c8g","1.08","520","6240","12480","18720","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.4c8g","1.08","520","6240","12480","18720","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.8c16g","2.16","1040","12480","24960","37440","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.8c16g","2.16","1040","12480","24960","37440","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.8c16g","2.16","1040","12480","24960","37440","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.16c32g","4.33","2080","24960","49920","74880","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.16c32g","4.33","2080","24960","49920","74880","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d2.16c32g","4.33","2080","24960","49920","74880","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.2c8g","0.67","320","3840","7680","11520","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.2c8g","0.67","320","3840","7680","11520","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.2c8g","0.67","320","3840","7680","11520","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.4c16g","1.33","640","7680","15360","23040","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.4c16g","1.33","640","7680","15360","23040","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.4c16g","1.33","640","7680","15360","23040","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.8c32g","2.66","1280","15360","30720","46080","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.8c32g","2.66","1280","15360","30720","46080","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.8c32g","2.66","1280","15360","30720","46080","华南1（广州）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.16c64g","5.33","2560","30720","61440","92160","华东2（上海）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.16c64g","5.33","2560","30720","61440","92160","华北2（北京）"
" Web版-基础版","通用型","rds.mssql.web.std.d4.16c64g","5.33","2560","30720","61440","92160","华南1（广州）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","0.54","260","3120","6240","9360","亚太东南（柔佛）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","1.63","780","9360","18720","28080","亚太东南（雅加达）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","0.54","260","3120","6240","9360","华北2（北京）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","0.54","260","3120","6240","9360","华南1（广州）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","0.54","260","3120","6240","9360","中国香港"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.medium.w1","0.54","260","3120","6240","9360","华东2（上海）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","1.08","520","6240","12480","18720","亚太东南（柔佛）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","3.25","1560","18720","37440","56160","亚太东南（雅加达）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","1.08","520","6240","12480","18720","华北2（北京）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","1.08","520","6240","12480","18720","华南1（广州）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","1.08","520","6240","12480","18720","中国香港"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.w1","1.08","520","6240","12480","18720","华东2（上海）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","2.17","1040","12480","24960","37440","亚太东南（柔佛）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","6.5","3120","37440","74880","112320","亚太东南（雅加达）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","2.16","1040","12480","24960","37440","华北2（北京）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","2.16","1040","12480","24960","37440","华南1（广州）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","2.17","1040","12480","24960","37440","中国香港"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.w1","2.16","1040","12480","24960","37440","华东2（上海）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.w1","4.33","2080","24960","49920","74880","亚太东南（柔佛）"
" Web版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.w1","13","6240","74880","149760","224640","亚太东南（雅加达）"
