E-MapReduce服务费-核数,按量计费 (小时),包月,包1年,地域
"1","0.08","40","480","亚太东南（柔佛）"
"1","0.05","25","300","华东2（上海）"
"1","0.05","25","300","华南1（广州）"
"1","0.05","25","300","华北2（北京）"
,
,
,
实例规格,vCPU,内存（GiB）,按量计费 (小时),包月,包1年,包2年,包3年,地域
"ecs.r2i.4xlarge","16","128","5.3233","2597.76","31173.12","62346.24","93519.36","华北2（北京）"
"ecs.r2i.8xlarge","32","256","10.6466","5195.52","62346.24","124692.48","187038.72","华南1（广州）"
"ecs.r2i.8xlarge","32","256","10.6466","5195.52","62346.24","124692.48","187038.72","华东2（上海）"
"ecs.r2i.8xlarge","32","256","10.6466","5195.52","62346.24","124692.48","187038.72","华北2（北京）"
"ecs.r2i.12xlarge","48","384","15.9698","7793.28","93519.36","187038.72","280558.08","华北2（北京）"
"ecs.r2i.12xlarge","48","384","15.9698","7793.28","93519.36","187038.72","280558.08","华东2（上海）"
"ecs.r2i.12xlarge","48","384","15.9698","7793.28","93519.36","187038.72","280558.08","华南1（广州）"
"ecs.r1ie.2xlarge","8","64","2.531","1235.14","14821.68","29643.36","44465.04","华东2（上海）"
"ecs.r1ie.2xlarge","8","64","2.531","1235.14","14821.68","29643.36","44465.04","华北2（北京）"
"ecs.r1ie.2xlarge","8","64","2.531","1235.14","14821.68","29643.36","44465.04","华南1（广州）"
"ecs.r1ie.4xlarge","16","128","5.062","2470.28","29643.36","59286.72","88930.08","华东2（上海）"
"ecs.r1ie.4xlarge","16","128","5.062","2470.28","29643.36","59286.72","88930.08","华南1（广州）"
"ecs.r1ie.4xlarge","16","128","5.062","2470.28","29643.36","59286.72","88930.08","华北2（北京）"
"ecs.r1ie.8xlarge","32","256","10.1241","4940.56","59286.72","118573.44","177860.16","华东2（上海）"
"ecs.r1ie.8xlarge","32","256","10.1241","4940.56","59286.72","118573.44","177860.16","华南1（广州）"
"ecs.r1ie.8xlarge","32","256","10.1241","4940.56","59286.72","118573.44","177860.16","华北2（北京）"
"ecs.i2.2xlarge","8","64","6.2598","3467.02","41604.22","83208.44","124812.66","亚太东南（柔佛）"
"ecs.i2.2xlarge","8","64","5.6274","2746.15","32953.84","65907.67","98861.51","华东2（上海）"
"ecs.i2.2xlarge","8","64","5.6274","2746.15","32953.84","65907.67","98861.51","华北2（北京）"
"ecs.i2.2xlarge","8","64","5.6274","2746.15","32953.84","65907.67","98861.51","华南1（广州）"
"ecs.i2.4xlarge","16","128","9.2739","5136.32","61635.88","123271.76","184907.64","亚太东南（柔佛）"
"ecs.i2.4xlarge","16","128","8.3368","4068.38","48820.5","97641","146461.5","华东2（上海）"
"ecs.i2.4xlarge","16","128","8.3368","4068.38","48820.5","97641","146461.5","华南1（广州）"
"ecs.i2.4xlarge","16","128","8.3368","4068.38","48820.5","97641","146461.5","华北2（北京）"
"ecs.i2.8xlarge","32","256","18.5478","10272.65","123271.76","246543.53","369815.29","亚太东南（柔佛）"
"ecs.i2.8xlarge","32","256","16.6737","8136.75","97641","195282","292923","华东2（上海）"
"ecs.i2.8xlarge","32","256","16.6737","8136.75","97641","195282","292923","华北2（北京）"
"ecs.i2.8xlarge","32","256","16.6737","8136.75","97641","195282","292923","华南1（广州）"
"ecs.i2.14xlarge","56","448","32.3775","17932.19","215186.27","430372.54","645558.81","亚太东南（柔佛）"
"ecs.i2.14xlarge","56","448","29.106","14203.71","170444.57","340889.14","511333.71","华南1（广州）"
"ecs.i2.14xlarge","56","448","29.106","14203.71","170444.57","340889.14","511333.71","华北2（北京）"
"ecs.i2.14xlarge","56","448","29.106","14203.71","170444.57","340889.14","511333.71","华东2（上海）"
