产品,ByteHouse企业版,,,
地域,"华北2（北京）/华东2（上海）",,,

计算资源,,,,
资源配置,付费方式,单价,单位,
4核16GB,包年包月,700,元/月,
8核32GB,包年包月,1400,元/月,
16核64GB,包年包月,2800,元/月,
32核128GB,包年包月,5600,元/月,
64核256GB,包年包月,11200,元/月,

存储容量,,,,
资源配置,付费方式,单价,单位,
本地存储,包年包月,1,元/GiB/月,
冷存储,后付费,0.00014,元/GiB/小时,
