计费项,计费方式,计费标准（元/月）,计费标准（元/年）
"免费版","包年包月预付费","0","0"
"专业版","包年包月预付费","5","50"
"企业版","包年包月预付费","15","150"
"旗舰版","包年包月预付费","50","500"
"尊享版","包年包月预付费","2500","25000"
,
,
,
计费项,计费方式,计费周期,计费标准,单位,备注
"私网域名费用","按量计费后付费","日结","0.1","元/个/日","私网域名运行未满一日删除域名/实例的，当日用量不计费。"
"解析请求量费用","按量计费后付费","日结","0.03","元/万次","按每日实际请求量计费出账"
,
,
,
计费项,计费方式,计费周期,计费标准,备注
"出站终端节点的 IP 地址","按量计费后付费","小时结","1 元/个/小时","按每小时实际使用量累计计费出账"
"出站终端节点转发的 DNS 请求量","按量计费后付费","日结","0.03 元/万次","按每日实际请求量累计计费出账"
"入站终端节点的 IP 地址","按量计费后付费","小时结","1 元/个/小时","按每小时实际使用量累计计费出账"
"入站终端节点转发的 DNS 请求量","按量计费后付费","日结","0.03 元/万次","按每日实际请求量累计计费出账"
,
,
,
计费项,计费方式,计费周期,计费标准,单位
"实例费用","按量计费后付费","日结（如有月结需求，请联系商务开通）","标准版：0.1","元/个/日"
"实例费用","按量计费后付费","日结（如有月结需求，请联系商务开通）","旗舰版：1","元/个/日"
"解析请求量费用","按量计费后付费","日结（如有月结需求，请联系商务开通）","0.06","元/万次"
"健康检查费用","按量计费后付费","日结（如有月结需求，请联系商务开通）","检查间隔是 1 分钟：0.04；","元/任务/日"
"健康检查费用","按量计费后付费","日结（如有月结需求，请联系商务开通）","检查间隔是 15 秒：0.16","元/任务/日"
,
,
,
计费项,计费方式,有效期/计费周期,计费标准
"流量包","资源包预付费","有效期 12 个月","请在下单页面或登录产品控制台查看详情"
"按量计费","按量计费后付费","日结（如有月结需求，请联系商务开通）","月用量300亿次以内的部分：0.04元/万次；月用量300亿次以上的部分：0.02元/万次"
