流量阶梯（元/GB),中国内地,亚太一区,亚太二区,亚太三区,欧洲,中东/非洲,南美,北美
"0~10TB（含）","0.22","0.423","0.55","0.657","0.294","0.794","0.668","0.294"
"10TB~50TB（含）","0.21","0.367","0.459","0.56","0.241","0.754","0.635","0.241"
"50TB~100TB（含）","0.18","0.325","0.423","0.486","0.187","0.675","0.568","0.187"
"100TB~1PB（含）","0.16","0.296","0.353","0.433","0.147","0.635","0.535","0.147"
"大于 1PB","0.15","0.282","0.318","0.403","0.127","0.595","0.501","0.127"
,
,
,
CDN/DCDN资源包规格,12个月有效期,6个月有效期,1个月有效期
"100GB","20","18","17"
"500GB","94","85","83"
"1TB","180","162","158"
"5TB","880","800","772"
"10TB","1760","1600","1545"
"50TB","8200","7600","7300"
"200TB","21500","19560","19100"
"1PB","99000","99000","99000"
"5PB","494000","494000","494000"
"10PB","980000","980000","980000"
"50PB","4796000","4796000","4796000"
,
,
,
CDN单产品资源包规格,12个月有效期,1个月有效期
"100GB","20","20"
"500GB","94","94"
"1TB","180","180"
"5TB","880","880"
"10TB","1760","1760"
"50TB","8200","8200"
"200TB","21500","21500"
"1PB","99000","99000"
"5PB","494000","494000"
"10PB","980000","980000"
"50PB","4796000","4796000"
,
,
,
计费项,价格（元/万次）
"QUIC请求次数","0.05"
