节点规格,按量计费 (小时),包月,包1年,包2年,包3年,价格单位,地域
"rds.mysql.d1.16c32g(独享规格-16C32G)","4","1920","23040","46080","69120","个","华南1（广州）"
"rds.mysql.d1.16c32g(独享规格-16C32G)","11.46","5500","66000","132000","198000","个","亚太东南（雅加达）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","10.49","5035","60420","120840","181260","个","中国香港"
"rds.mysql.d1.16c64g(独享规格-16C64G)","9","4320","51840","103680","155520","个","亚太东南（柔佛）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华北2（北京）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华东2（上海）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","6","2880","34560","69120","103680","个","华南1（广州）"
"rds.mysql.d1.16c64g(独享规格-16C64G)","13.96","6700","80400","160800","241200","个","亚太东南（雅加达）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","13.75","6602","79224","158448","237672","个","中国香港"
"rds.mysql.d1.16c96g(独享规格-16C96G)","13.5","6480","77760","155520","233280","个","亚太东南（柔佛）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华北2（北京）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华南1（广州）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","9","4320","51840","103680","155520","个","华东2（上海）"
"rds.mysql.d1.16c96g(独享规格-16C96G)","16.67","8000","96000","192000","288000","个","亚太东南（雅加达）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","17.02","8170","98040","196080","294120","个","中国香港"
"rds.mysql.d1.16c128g(独享规格-16C128G)","12","5760","69120","138240","207360","个","华北2（北京）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","12","5760","69120","138240","207360","个","华南1（广州）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","12","5760","69120","138240","207360","个","华东2（上海）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","18","8640","103680","207360","311040","个","亚太东南（柔佛）"
"rds.mysql.d1.16c128g(独享规格-16C128G)","17.86","8570","102840","205680","308520","个","亚太东南（雅加达）"
"rds.mysql.d1.32c64g(独享规格-32C64G)","19.3","9262","111144","222288","333432","个","中国香港"
"rds.mysql.d1.32c64g(独享规格-32C64G)","20.31","9750","117000","234000","351000","个","亚太东南（柔佛）"
"rds.mysql.d1.32c64g(独享规格-32C64G)","13.54","6500","78000","156000","234000","个","华东2（上海）"
"rds.mysql.d1.32c64g(独享规格-32C64G)","13.54","6500","78000","156000","234000","个","华南1（广州）"
"rds.mysql.d1.32c64g(独享规格-32C64G)","13.54","6500","78000","156000","234000","个","华北2（北京）"
"rds.mysql.d1.32c64g(独享规格-32C64G)","20.84","10000","120000","240000","360000","个","亚太东南（雅加达）"
"rds.mysql.d1.32c128g(独享规格-32C128G)","26.52","12730","152760","305520","458280","个","中国香港"
"rds.mysql.d1.32c128g(独享规格-32C128G)","15","7200","86400","172800","259200","个","华南1（广州）"
"rds.mysql.d1.32c128g(独享规格-32C128G)","15","7200","86400","172800","259200","个","华东2（上海）"
"rds.mysql.d1.32c128g(独享规格-32C128G)","15","7200","86400","172800","259200","个","华北2（北京）"
"rds.mysql.d1.32c128g(独享规格-32C128G)","22.5","10800","129600","259200","388800","个","亚太东南（柔佛）"
"rds.mysql.d1.32c128g(独享规格-32C128G)","28.13","13500","162000","324000","486000","个","亚太东南（雅加达）"
"rds.mysql.d1.32c256g(独享规格-32C256G)","40.77","19570","234840","469680","704520","个","中国香港"
"rds.mysql.d1.32c256g(独享规格-32C256G)","36","17280","207360","414720","622080","个","亚太东南（柔佛）"
"rds.mysql.d1.32c256g(独享规格-32C256G)","24","11520","138240","276480","414720","个","华东2（上海）"
"rds.mysql.d1.32c256g(独享规格-32C256G)","24","11520","138240","276480","414720","个","华北2（北京）"
"rds.mysql.d1.32c256g(独享规格-32C256G)","24","11520","138240","276480","414720","个","华南1（广州）"
"rds.mysql.d1.32c256g(独享规格-32C256G)","45.84","22000","264000","528000","792000","个","亚太东南（雅加达）"
"rds.mysql.d1.64c128g(独享规格-64C128G)","48.98","23512","282144","564288","846432","个","中国香港"
"rds.mysql.d1.64c128g(独享规格-64C128G)","31.25","15000","180000","360000","540000","个","华东2（上海）"
"rds.mysql.d1.64c128g(独享规格-64C128G)","31.25","15000","180000","360000","540000","个","华南1（广州）"
"rds.mysql.d1.64c128g(独享规格-64C128G)","31.25","15000","180000","360000","540000","个","华北2（北京）"
"rds.mysql.d1.64c128g(独享规格-64C128G)","46.875","22500","270000","540000","810000","个","亚太东南（柔佛）"
